presumptive_sentence,severity_level,criminal_history
306,11,0
326,11,1
346,11,2
366,11,3
386,11,4
406,11,5
426,11,6
150,10,0
165,10,1
180,10,2
195,10,3
210,10,4
225,10,5
240,10,6
86,9,0
98,9,1
110,9,2
122,9,3
134,9,4
146,9,5
158,9,6
48,8,0
58,8,1
68,8,2
78,8,3
88,8,4
98,8,5
108,8,6
36,7,0
42,7,1
48,7,2
54,7,3
60,7,4
66,7,5
72,7,6
21,6,0
27,6,1
33,6,2
39,6,3
45,6,4
51,6,5
57,6,6
18,5,0
23,5,1
28,5,2
33,5,3
38,5,4
43,5,5
48,5,6
12,4,0
15,4,1
18,4,2
21,4,3
24,4,4
27,4,5
30,4,6
12,3,0
13,3,1
15,3,2
17,3,3
19,3,4
21,3,5
23,3,6
12,2,0
12,2,1
13,2,2
15,2,3
16,2,4
19,2,5
21,2,6
12,1,0
12,1,1
12,1,2
13,1,3
15,1,4
17,1,5
19,1,6